iter	RMSE
0	70319.24865
1	62082.08324
2	55071.09784
3	49527.5745
4	45269.34947
5	41510.33295
6	38676.06999
7	36251.37254
8	34077.26877
9	32103.46394
10	30423.95365
11	29351.57601
12	28028.9623
13	27201.0439
14	26545.68239
15	25678.33927
16	25082.52745
17	24635.73619
18	24231.1308
19	23956.55987
20	23430.89152
21	23067.97402
22	22719.87487
23	22278.57979
24	21924.80293
25	21737.2886
26	21404.15272
27	21146.23618
28	20955.1922
29	20795.00753
30	20430.91895
31	20204.18098
32	20015.31135
33	19804.12655
34	19617.65712
35	19429.24977
36	19349.87341
37	19196.63528
38	18928.86073
39	18811.41309
40	18663.25176
41	18468.59508
42	18339.94786
43	18192.95421
44	18075.13309
45	17961.97035
46	17781.24872
47	17620.29253
48	17490.25127
49	17449.3435
50	17232.5519
51	17115.88008
52	16936.95704
53	16831.92125
54	16650.29147
55	16503.56713
56	16370.27798
57	16338.68465
58	16230.44547
59	16168.61018
60	16026.73472
61	15906.29958
62	15709.99392
63	15607.93947
64	15487.51021
65	15396.07113
66	15277.99562
67	15207.38953
68	15093.9747
69	14997.85411
70	14874.84632
71	14707.17596
72	14631.38462
73	14484.18633
74	14388.54019
75	14255.74145
76	14163.11247
77	14009.75097
78	13974.24694
79	13884.8864
80	13761.02568
81	13646.67302
82	13571.73742
83	13451.6551
84	13374.64007
85	13339.0752
86	13250.24844
87	13178.38943
88	13055.23159
89	12991.95443
90	12903.13422
91	12795.90404
92	12721.22089
93	12646.62916
94	12557.29634
95	12497.93835
96	12409.15057
97	12337.8837
98	12276.14128
99	12239.87401
100	12153.66735
101	12056.62845
102	12032.19928
103	11944.05846
104	11923.58597
105	11828.91097
106	11794.66028
107	11727.67643
108	11621.94298
109	11595.04399
110	11519.21843
111	11512.9835
112	11506.47279
113	11422.55043
114	11389.67423
115	11313.25804
116	11259.19
117	11193.69039
118	11137.37045
119	11080.45749
120	10998.18039
121	10991.85851
122	10988.55523
123	10901.18086
124	10856.7735
125	10785.60845
126	10720.85658
127	10680.4866
128	10613.16748
129	10567.67995
130	10536.39926
131	10499.53964
132	10408.56752
133	10363.85325
134	10302.37982
135	10229.23969
136	10154.07867
137	10106.90998
138	10045.96323
139	10013.18612
140	10006.44719
141	9933.466232
142	9858.001426
143	9834.837525
144	9787.801048
145	9770.1502
146	9738.123332
147	9720.127121
148	9667.168857
149	9638.411135
150	9614.328188
151	9575.000693
152	9533.050757
153	9502.073517
154	9499.262285
155	9482.117096
156	9441.39973
157	9402.759487
158	9355.875861
159	9314.786166
160	9305.307187
161	9291.605735
162	9241.474677
163	9156.348933
164	9152.571789
165	9093.898345
166	9082.915736
167	9061.132557
168	9028.555034
169	9009.19712
