iter	Passed	Remaining
0	1	1814
1	3	1647
2	4	1577
3	6	1600
4	7	1568
5	10	1677
6	11	1683
7	13	1672
8	14	1649
9	16	1620
10	17	1595
11	19	1574
12	20	1553
13	22	1579
14	24	1591
15	25	1581
16	27	1566
17	28	1551
18	29	1541
19	31	1525
20	32	1515
21	33	1505
22	35	1499
23	36	1494
24	38	1493
25	40	1504
26	41	1507
27	43	1504
28	49	1672
29	53	1717
30	59	1872
31	95	2896
32	103	3025
33	108	3088
34	111	3061
35	113	3042
36	115	2997
37	116	2955
38	118	2924
39	120	2888
40	121	2849
41	123	2824
42	129	2882
43	134	2917
44	137	2908
45	139	2885
46	141	2863
47	143	2838
48	144	2809
49	146	2779
50	148	2761
51	150	2739
52	152	2719
53	153	2695
54	155	2668
55	156	2643
56	158	2619
57	159	2596
58	161	2574
59	163	2556
60	165	2541
61	166	2522
62	168	2506
63	170	2487
64	171	2469
65	173	2450
66	174	2433
67	176	2417
68	178	2402
69	180	2392
70	181	2379
71	183	2365
72	184	2349
73	186	2333
74	188	2318
75	189	2305
76	191	2291
77	192	2276
78	194	2271
79	196	2262
80	198	2250
81	199	2237
82	201	2224
83	202	2213
84	204	2201
85	205	2189
86	207	2181
87	210	2179
88	212	2172
89	213	2162
90	215	2154
91	217	2144
92	218	2135
93	220	2125
94	222	2117
95	224	2117
96	226	2109
97	228	2101
98	230	2094
99	232	2088
100	233	2080
101	235	2073
102	237	2067
103	239	2066
104	241	2061
105	243	2055
106	245	2048
107	247	2042
108	249	2036
109	260	2107
110	265	2130
111	269	2134
112	272	2138
113	274	2132
114	277	2139
115	280	2135
116	281	2128
117	283	2120
118	285	2111
119	287	2109
120	289	2103
121	291	2096
122	292	2089
123	294	2083
124	296	2075
125	298	2068
126	299	2061
127	302	2057
128	303	2051
129	305	2043
130	307	2036
131	308	2030
132	310	2023
133	312	2017
134	313	2010
135	315	2003
136	317	2000
137	319	1995
138	321	1988
139	322	1982
140	324	1975
141	325	1969
142	327	1963
143	329	1956
144	330	1950
145	333	1947
146	334	1943
147	336	1937
148	338	1931
149	339	1925
150	341	1920
151	343	1914
152	344	1909
153	346	1903
154	348	1901
155	350	1895
156	351	1890
157	353	1884
158	355	1879
